,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
208,LOCL,Local Bounti Corporation,19.46M,1.95%,8093,34.93M
209,EDTK,Skillful Craftsman Education Technology Limited,16.89M,-1.26%,179,624.37K
210,ABVE,Above Food Ingredients Inc.,15.98M,1.80%,122122,275.38M
211,SDOT,Sadot Group Inc.,15.79M,1.85%,2293,655.94M
212,KAVL,"Kaival Brands Innovations Group, Inc.",15.47M,1.07%,87540,6.89M
213,YQ,17 Education & Technology Group Inc.,15.00M,3.76%,2925,28.51M
214,RMCF,"Rocky Mountain Chocolate Factory, Inc.",14.68M,1.06%,3720,27.94M
215,YHC,LQR House Inc.,13.59M,30.10%,917602,2.27M
216,DDC,DDC Enterprise Limited,13.07M,-0.06%,87170,32.88M
217,EEIQ,EpicQuest Education Group International Limited,12.96M,-4.08%,472,8.15M
218,NCRA,"Nocera, Inc.",11.86M,2.39%,26066,20.48M
219,VINE,"Fresh Vine Wine, Inc.",11.34M,-0.53%,83178,477.74K
220,SBEV,"Splash Beverage Group, Inc.",11.31M,-0.92%,215152,6.26M
221,WAFU,Wah Fu Education Group Limited,8.07M,6.40%,17545,7.22M
222,AMBO,Ambow Education Holding Ltd.,7.06M,-2.35%,115,7.84M
223,RKDA,"Arcadia Biosciences, Inc.",6.64M,1.29%,1279,5.48M
224,IBG,Innovation Beverage Group Limited,6.17M,-7.17%,47584,3.15M
225,IMG,CIMG Inc.,6.16M,-5.97%,134607,3.79M
226,CASK,"Heritage Distilling Holding Company, Inc.",6.13M,-7.56%,37358,7.52M
227,CTCX,Carmell Corporation,5.81M,-5.89%,147244,32.84K
228,EDBL,Edible Garden AG Incorporated,5.64M,-2.64%,1382410,14.07M
229,TWG,Top Wealth Group Holding Limited,5.60M,-3.40%,241358,14.38M
230,TCTM,TCTM Kids IT Education Inc.,5.45M,15.40%,3518515,190.00M
231,GV,Visionary Holdings Inc.,5.42M,0.57%,34197,9.38M
232,XXII,"22nd Century Group, Inc.",5.36M,-3.11%,29163,17.30M
233,GSUN,Golden Sun Health Technology Group Limited,5.27M,-6.34%,1045,6.34M
234,ATPC,Agape ATP Corporation,3.71M,-7.00%,47779,1.35M
235,FAMI,"Farmmi, Inc.",3.65M,-0.08%,114606,64.13M
236,BTTR,Better Choice Company Inc.,3.62M,0.51%,3453,33.52M
237,BLNE,"Eastside Distilling, Inc.",3.05M,-5.81%,56701,9.54M
238,AQB,"AquaBounty Technologies, Inc.",2.91M,-0.46%,10649,1.26M
239,AGRI,AgriFORCE Growing Systems Ltd.,2.90M,-0.53%,15049,57.60K
240,GNLN,"Greenlane Holdings, Inc.",2.81M,-1.97%,27312,21.61M
241,SISI,"Shineco, Inc.",2.15M,-4.58%,231,10.33M
242,TANH,Tantech Holdings Ltd,765.96K,-3.27%,2742559,49.10M
243,STKH,Steakholder Foods Ltd.,144.21K,0.63%,8055,-
