,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
337,NN,NextNav Inc.,1.60B,4.79%,716888,4.96M
338,MXL,"MaxLinear, Inc.",1.59B,1.84%,1497655,360.53M
339,TUYA,Tuya Inc.,1.59B,-9.40%,4578748,280.97M
340,INFN,Infinera Corporation,1.57B,0.15%,1721389,1.46B
341,AMPL,"Amplitude, Inc.",1.57B,-2.46%,857491,292.54M
342,GB,Global Blue Group Holding AG,1.55B,-4.59%,36923,517.91M
343,ZUO,"Zuora, Inc.",1.54B,-,610756,452.76M
344,ATEN,"A10 Networks, Inc.",1.54B,2.71%,1240034,261.70M
345,BHE,"Benchmark Electronics, Inc.",1.52B,0.72%,149933,2.66B
346,SPNS,Sapiens International Corporation N.V.,1.51B,1.35%,130981,538.93M
347,VECO,Veeco Instruments Inc.,1.48B,2.36%,332647,709.09M
348,FORTY,Formula Systems (1985) Ltd.,1.47B,7.87%,2804,2.71B
349,DSP,Viant Technology Inc.,1.47B,1.17%,280020,263.59M
350,MLNK,"MeridianLink, Inc.",1.45B,0.31%,91007,311.44M
351,EXOD,"Exodus Movement, Inc.",1.45B,-9.53%,47441,89.94M
352,PLAB,"Photronics, Inc.",1.45B,1.47%,403576,866.95M
353,CTS,CTS Corporation,1.44B,1.89%,143861,515.77M
354,ENFN,"Enfusion, Inc.",1.44B,-0.09%,1056606,195.16M
355,KARO,Karooooo Ltd.,1.44B,-0.77%,21457,245.97M
356,FSLY,"Fastly, Inc.",1.44B,-2.76%,2998883,540.87M
357,SMWB,Similarweb Ltd.,1.43B,0.81%,464033,241.08M
358,NYAX,Nayax Ltd.,1.42B,-0.73%,4596,291.65M
359,TASK,"TaskUs, Inc.",1.41B,-2.10%,96399,955.01M
360,AAOI,"Applied Optoelectronics, Inc.",1.39B,3.85%,2644887,209.55M
361,ADEA,Adeia Inc.,1.38B,-3.75%,551071,343.72M
362,HLIT,Harmonic Inc.,1.33B,1.88%,800072,623.65M
363,DAVE,Dave Inc.,1.32B,4.90%,307091,319.36M
364,SABR,Sabre Corporation,1.32B,-0.58%,2923704,3.00B
365,ACMR,"ACM Research, Inc.",1.31B,0.72%,1082704,728.97M
366,DCBO,Docebo Inc.,1.29B,1.44%,37914,209.17M
367,QUBT,Quantum Computing Inc.,1.27B,0.20%,14939045,386.00K
368,AOSL,Alpha and Omega Semiconductor Limited,1.26B,0.42%,899754,666.40M
