,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
273,AGX,"Argan, Inc.",2.02B,-2.11%,118821,806.26M
274,BWLP,BW LPG Limited,1.96B,1.74%,265859,3.60B
275,TGI,"Triumph Group, Inc.",1.96B,-0.10%,342154,1.24B
276,HLMN,Hillman Solutions Corp.,1.95B,-2.02%,15168,1.47B
277,GBX,"The Greenbrier Companies, Inc.",1.93B,-2.88%,84408,3.61B
278,PL,Planet Labs PBC,1.87B,1.21%,2359508,241.65M
279,SBLK,Star Bulk Carriers Corp.,1.85B,0.42%,786579,1.22B
280,GOGL,Golden Ocean Group Limited,1.82B,-1.08%,873681,1.01B
281,VSTS,Vestis Corporation,1.79B,-1.24%,131321,2.77B
282,XMTR,"Xometry, Inc.",1.77B,1.11%,150297,525.13M
283,ROCK,"Gibraltar Industries, Inc.",1.77B,-2.57%,31318,1.34B
284,PBI,Pitney Bowes Inc.,1.76B,10.70%,4829001,2.03B
285,PRG,"PROG Holdings, Inc.",1.76B,-1.56%,88619,2.42B
286,NPWR,NET Power Inc.,1.73B,-0.18%,150076,250.00K
287,CDLR,Cadeler A/S,1.73B,-0.97%,5041,201.00M
288,RDW,Redwire Corporation,1.68B,14.64%,1294394,298.03M
289,KMT,Kennametal Inc.,1.67B,-1.30%,200602,2.02B
290,TNC,Tennant Company,1.65B,-1.05%,133038,1.27B
291,REVG,"REV Group, Inc.",1.64B,-4.15%,242398,2.38B
292,DXPE,"DXP Enterprises, Inc.",1.62B,0.15%,35905,1.74B
293,DAC,Danaos Corporation,1.60B,-1.69%,31836,1.01B
294,LZ,"LegalZoom.com, Inc.",1.59B,-1.61%,768987,678.84M
295,PCT,"PureCycle Technologies, Inc.",1.58B,-1.31%,388309,-
296,CODI,Compass Diversified,1.55B,-2.19%,132930,2.22B
297,EH,EHang Holdings Limited,1.55B,19.22%,5968647,49.68M
298,VVX,"V2X, Inc.",1.53B,-1.34%,36407,4.20B
299,PLUG,Plug Power Inc.,1.52B,2.78%,33912424,659.51M
300,ALGT,Allegiant Travel Company,1.51B,-0.14%,64237,2.51B
301,DNOW,DNOW Inc.,1.50B,-0.42%,255162,2.36B
302,CDRE,"Cadre Holdings, Inc.",1.46B,-1.51%,34224,516.16M
303,ATSG,"Air Transport Services Group, Inc.",1.46B,0.11%,346335,1.96B
304,CMPO,"CompoSecure, Inc.",1.45B,1.38%,342609,419.61M
305,DSGR,"Distribution Solutions Group, Inc.",1.43B,-1.25%,8778,1.73B
306,LNN,Lindsay Corporation,1.42B,-1.28%,12793,612.00M
307,SFL,SFL Corporation Ltd.,1.41B,-3.40%,519203,876.07M
308,HLIO,"Helios Technologies, Inc.",1.39B,-2.17%,15914,819.80M
309,BV,"BrightView Holdings, Inc.",1.37B,-1.57%,126353,2.74B
310,NMM,Navios Maritime Partners L.P.,1.36B,1.52%,43215,1.33B
311,EVEX,"Eve Holding, Inc.",1.35B,-0.22%,48408,-
312,KRNT,Kornit Digital Ltd.,1.35B,-2.68%,248861,203.83M
313,HTZ,"Hertz Global Holdings, Inc.",1.31B,-5.84%,2581052,9.19B
314,CMPR,Cimpress plc,1.31B,-4.95%,73526,3.36B
315,TILE,"Interface, Inc.",1.30B,-1.89%,9170,1.31B
316,CRAI,"CRA International, Inc.",1.29B,0.49%,5273,672.59M
317,WLFC,Willis Lease Finance Corporation,1.29B,-2.07%,4366,520.43M
318,CMRE,Costamare Inc.,1.25B,-1.28%,158372,2.08B
319,NNE,NANO Nuclear Energy Inc.,1.25B,5.84%,2905833,-
320,MRTN,"Marten Transport, Ltd.",1.23B,-1.31%,137276,963.71M
321,AMSC,American Superconductor Corporation,1.20B,-3.56%,392415,198.19M
322,NVEE,"NV5 Global, Inc.",1.17B,-1.55%,105798,914.19M
323,JBI,"Janus International Group, Inc.",1.15B,-1.99%,176687,996.80M
324,CTOS,"Custom Truck One Source, Inc.",1.15B,-2.77%,73197,1.80B
